day_id,weekday,time_slot,year,batch,activity,building,floor,students_present,total_students_year,is_peak_hour,is_lunch_window,occupancy_ratio
1,1,08:00,1,1,class,A,12,4720,10000,0,0,0.472
1,1,08:00,1,2,lab,A,1,4575,10000,0,0,0.458
1,1,08:00,2,1,class,A,11,3865,8000,0,0,0.483
1,1,08:00,2,2,lab,A,5,3786,8000,0,0,0.473
1,1,08:00,3,1,class,B,4,2849,6000,0,0,0.475
1,1,08:00,3,2,lab,B,7,2956,6000,0,0,0.493
1,1,08:00,4,1,class,B,7,3363,7000,0,0,0.48
1,1,08:00,4,2,lab,B,11,3196,7000,0,0,0.457
1,1,08:10,1,1,class,A,7,4513,10000,0,0,0.451
1,1,08:10,1,2,lab,A,1,4966,10000,0,0,0.497
1,1,08:10,2,1,class,A,1,3939,8000,0,0,0.492
1,1,08:10,2,2,lab,A,6,3604,8000,0,0,0.451
1,1,08:10,3,1,class,B,4,2979,6000,0,0,0.496
1,1,08:10,3,2,lab,B,1,2730,6000,0,0,0.455
1,1,08:10,4,1,class,B,14,3197,7000,0,0,0.457
1,1,08:10,4,2,lab,B,4,3385,7000,0,0,0.484
1,1,08:20,1,1,class,A,6,4668,10000,0,0,0.467
1,1,08:20,1,2,lab,A,10,4513,10000,0,0,0.451
1,1,08:20,2,1,class,A,3,3435,8000,0,0,0.429
1,1,08:20,2,2,lab,A,8,3868,8000,0,0,0.483
1,1,08:20,3,1,class,B,4,2552,6000,0,0,0.425
1,1,08:20,3,2,lab,B,11,2844,6000,0,0,0.474
1,1,08:20,4,1,class,B,8,3229,7000,0,0,0.461
1,1,08:20,4,2,lab,B,7,3260,7000,0,0,0.466
1,1,08:30,1,1,class,A,12,4692,10000,0,0,0.469
1,1,08:30,1,2,lab,A,1,4475,10000,0,0,0.448
1,1,08:30,2,1,class,A,11,3421,8000,0,0,0.428
1,1,08:30,2,2,lab,A,12,3569,8000,0,0,0.446
1,1,08:30,3,1,class,B,15,2909,6000,0,0,0.485
