timestamp,stop_id,demand
2026-02-16 08:00:00,Gate1,24
2026-02-16 08:00:00,Library,15
2026-02-16 08:00:00,Hostel,8
2026-02-16 08:00:00,Cafeteria,29
2026-02-16 08:00:00,DeptA,24
2026-02-16 09:00:00,Gate1,50
2026-02-16 09:00:00,Library,34
2026-02-16 09:00:00,Hostel,15
2026-02-16 09:00:00,Cafeteria,16
2026-02-16 09:00:00,DeptA,16
2026-02-16 10:00:00,Gate1,12
2026-02-16 10:00:00,Library,29
2026-02-16 10:00:00,Hostel,18
2026-02-16 10:00:00,Cafeteria,21
2026-02-16 10:00:00,DeptA,19
2026-02-16 11:00:00,Gate1,18
2026-02-16 11:00:00,Library,18
2026-02-16 11:00:00,Hostel,6
2026-02-16 11:00:00,Cafeteria,15
2026-02-16 11:00:00,DeptA,23
2026-02-16 12:00:00,Gate1,29
2026-02-16 12:00:00,Library,17
2026-02-16 12:00:00,Hostel,8
2026-02-16 12:00:00,Cafeteria,8
2026-02-16 12:00:00,DeptA,24
2026-02-16 13:00:00,Gate1,6
2026-02-16 13:00:00,Library,18
2026-02-16 13:00:00,Hostel,8
2026-02-16 13:00:00,Cafeteria,28
2026-02-16 13:00:00,DeptA,29
2026-02-16 14:00:00,Gate1,21
2026-02-16 14:00:00,Library,19
2026-02-16 14:00:00,Hostel,24
2026-02-16 14:00:00,Cafeteria,28
2026-02-16 14:00:00,DeptA,11
2026-02-16 15:00:00,Gate1,8
2026-02-16 15:00:00,Library,11
2026-02-16 15:00:00,Hostel,13
2026-02-16 15:00:00,Cafeteria,8
2026-02-16 15:00:00,DeptA,13
2026-02-16 16:00:00,Gate1,29
2026-02-16 16:00:00,Library,16
2026-02-16 16:00:00,Hostel,20
2026-02-16 16:00:00,Cafeteria,28
2026-02-16 16:00:00,DeptA,15
2026-02-16 17:00:00,Gate1,30
2026-02-16 17:00:00,Library,54
2026-02-16 17:00:00,Hostel,38
2026-02-16 17:00:00,Cafeteria,34
2026-02-16 17:00:00,DeptA,30
2026-02-16 18:00:00,Gate1,14
2026-02-16 18:00:00,Library,24
2026-02-16 18:00:00,Hostel,5
2026-02-16 18:00:00,Cafeteria,13
2026-02-16 18:00:00,DeptA,23
2026-02-16 19:00:00,Gate1,6
2026-02-16 19:00:00,Library,6
2026-02-16 19:00:00,Hostel,11
2026-02-16 19:00:00,Cafeteria,25
2026-02-16 19:00:00,DeptA,6
2026-02-16 20:00:00,Gate1,8
2026-02-16 20:00:00,Library,24
2026-02-16 20:00:00,Hostel,28
2026-02-16 20:00:00,Cafeteria,10
2026-02-16 20:00:00,DeptA,15
2026-02-16 21:00:00,Gate1,15
2026-02-16 21:00:00,Library,15
2026-02-16 21:00:00,Hostel,16
2026-02-16 21:00:00,Cafeteria,9
2026-02-16 21:00:00,DeptA,12
2026-02-17 08:00:00,Gate1,22
2026-02-17 08:00:00,Library,9
2026-02-17 08:00:00,Hostel,27
2026-02-17 08:00:00,Cafeteria,14
2026-02-17 08:00:00,DeptA,14
2026-02-17 09:00:00,Gate1,40
2026-02-17 09:00:00,Library,14
2026-02-17 09:00:00,Hostel,60
2026-02-17 09:00:00,Cafeteria,10
2026-02-17 09:00:00,DeptA,40
2026-02-17 10:00:00,Gate1,8
2026-02-17 10:00:00,Library,14
2026-02-17 10:00:00,Hostel,18
2026-02-17 10:00:00,Cafeteria,22
2026-02-17 10:00:00,DeptA,11
2026-02-17 11:00:00,Gate1,13
2026-02-17 11:00:00,Library,5
2026-02-17 11:00:00,Hostel,23
2026-02-17 11:00:00,Cafeteria,14
2026-02-17 11:00:00,DeptA,9
2026-02-17 12:00:00,Gate1,21
2026-02-17 12:00:00,Library,5
2026-02-17 12:00:00,Hostel,27
2026-02-17 12:00:00,Cafeteria,24
2026-02-17 12:00:00,DeptA,21
2026-02-17 13:00:00,Gate1,22
2026-02-17 13:00:00,Library,26
2026-02-17 13:00:00,Hostel,8
2026-02-17 13:00:00,Cafeteria,8
2026-02-17 13:00:00,DeptA,29
2026-02-17 14:00:00,Gate1,20
2026-02-17 14:00:00,Library,5
2026-02-17 14:00:00,Hostel,13
2026-02-17 14:00:00,Cafeteria,15
2026-02-17 14:00:00,DeptA,10
2026-02-17 15:00:00,Gate1,18
2026-02-17 15:00:00,Library,15
2026-02-17 15:00:00,Hostel,17
2026-02-17 15:00:00,Cafeteria,16
2026-02-17 15:00:00,DeptA,11
2026-02-17 16:00:00,Gate1,14
2026-02-17 16:00:00,Library,24
2026-02-17 16:00:00,Hostel,15
2026-02-17 16:00:00,Cafeteria,11
2026-02-17 16:00:00,DeptA,19
2026-02-17 17:00:00,Gate1,22
2026-02-17 17:00:00,Library,18
2026-02-17 17:00:00,Hostel,40
2026-02-17 17:00:00,Cafeteria,14
2026-02-17 17:00:00,DeptA,69
2026-02-17 18:00:00,Gate1,20
2026-02-17 18:00:00,Library,6
2026-02-17 18:00:00,Hostel,18
2026-02-17 18:00:00,Cafeteria,12
2026-02-17 18:00:00,DeptA,7
2026-02-17 19:00:00,Gate1,7
2026-02-17 19:00:00,Library,24
2026-02-17 19:00:00,Hostel,6
2026-02-17 19:00:00,Cafeteria,25
2026-02-17 19:00:00,DeptA,5
2026-02-17 20:00:00,Gate1,25
2026-02-17 20:00:00,Library,10
2026-02-17 20:00:00,Hostel,26
2026-02-17 20:00:00,Cafeteria,26
2026-02-17 20:00:00,DeptA,14
2026-02-17 21:00:00,Gate1,17
2026-02-17 21:00:00,Library,24
2026-02-17 21:00:00,Hostel,19
2026-02-17 21:00:00,Cafeteria,25
2026-02-17 21:00:00,DeptA,22
2026-02-18 08:00:00,Gate1,16
2026-02-18 08:00:00,Library,29
2026-02-18 08:00:00,Hostel,10
2026-02-18 08:00:00,Cafeteria,16
2026-02-18 08:00:00,DeptA,29
2026-02-18 09:00:00,Gate1,26
2026-02-18 09:00:00,Library,36
2026-02-18 09:00:00,Hostel,84
