timestamp,zone_id,hour_of_day,day_of_week,event_flag,weather_flag,density
2026-01-24 00:00:00,Library,0,5,0,1,4
2026-01-24 00:00:00,Gate3,0,5,0,1,5
2026-01-24 00:00:00,Cafeteria,0,5,0,1,6
2026-01-24 00:00:00,HostelArea,0,5,0,1,4
2026-01-24 00:00:00,MainBlock,0,5,0,1,5
2026-01-24 01:00:00,Library,1,5,0,1,3
2026-01-24 01:00:00,Gate3,1,5,0,1,7
2026-01-24 01:00:00,Cafeteria,1,5,0,1,6
2026-01-24 01:00:00,HostelArea,1,5,0,1,3
2026-01-24 01:00:00,MainBlock,1,5,0,1,6
2026-01-24 02:00:00,Library,2,5,0,1,6
2026-01-24 02:00:00,Gate3,2,5,0,1,4
2026-01-24 02:00:00,Cafeteria,2,5,0,1,5
2026-01-24 02:00:00,HostelArea,2,5,0,1,3
2026-01-24 02:00:00,MainBlock,2,5,0,1,5
2026-01-24 03:00:00,Library,3,5,0,1,4
2026-01-24 03:00:00,Gate3,3,5,0,1,4
2026-01-24 03:00:00,Cafeteria,3,5,0,1,4
2026-01-24 03:00:00,HostelArea,3,5,0,1,4
2026-01-24 03:00:00,MainBlock,3,5,0,1,6
2026-01-24 04:00:00,Library,4,5,0,1,6
2026-01-24 04:00:00,Gate3,4,5,0,1,5
2026-01-24 04:00:00,Cafeteria,4,5,0,1,7
2026-01-24 04:00:00,HostelArea,4,5,0,1,5
2026-01-24 04:00:00,MainBlock,4,5,0,1,4
2026-01-24 05:00:00,Library,5,5,0,1,4
2026-01-24 05:00:00,Gate3,5,5,0,1,4
2026-01-24 05:00:00,Cafeteria,5,5,0,1,6
2026-01-24 05:00:00,HostelArea,5,5,0,1,5
2026-01-24 05:00:00,MainBlock,5,5,0,1,7
2026-01-24 06:00:00,Library,6,5,0,1,6
2026-01-24 06:00:00,Gate3,6,5,0,1,5
2026-01-24 06:00:00,Cafeteria,6,5,0,1,5
2026-01-24 06:00:00,HostelArea,6,5,0,1,4
2026-01-24 06:00:00,MainBlock,6,5,0,1,8
2026-01-24 07:00:00,Library,7,5,0,1,7
2026-01-24 07:00:00,Gate3,7,5,0,1,6
2026-01-24 07:00:00,Cafeteria,7,5,0,1,4
2026-01-24 07:00:00,HostelArea,7,5,0,1,6
2026-01-24 07:00:00,MainBlock,7,5,0,1,6
2026-01-24 08:00:00,Library,8,5,0,1,13
2026-01-24 08:00:00,Gate3,8,5,0,1,13
2026-01-24 08:00:00,Cafeteria,8,5,0,1,17
